,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
TGME49_224090,1824,2030,1190,1674,1824,2003,1456,1444
TGME49_224100,291,203,151,214,291,202,149,187
TGME49_224110,1410,1551,910,1258,1410,1326,1074,1058
TGME49_224120,0,0,0,0,0,0,0,0
TGME49_224130,10311,15537,10515,11352,10311,14525,11291,9303
TGME49_224140,29,52,21,19,29,40,28,15
TGME49_224150,247,215,164,213,247,172,199,185
TGME49_224160,615,534,374,525,615,469,519,425
TGME49_224170,20,40,58,29,20,43,82,30
TGME49_224180,66,86,50,46,66,71,70,51
TGME49_224190,1735,1690,1044,1554,1735,1590,1256,1339
TGME49_224200,586,650,405,503,586,682,461,432
TGME49_224205,2350,2489,1400,1999,2350,2374,1721,1768
TGME49_224210,1458,1799,1177,1703,1458,1653,1486,1429
TGME49_224220,1720,2094,1230,1636,1720,1844,1478,1488
TGME49_224230,832,913,505,784,832,826,627,644
TGME49_224235,797,994,608,787,797,879,711,698
TGME49_224240,1586,2043,1049,1489,1586,1837,1352,1281
TGME49_224250,106,154,89,102,106,98,73,92
TGME49_224260,4934,5147,3050,4846,4934,4673,3950,4350
TGME49_224270,2806,3224,1918,2883,2806,3097,2394,2459
TGME49_224275,15,23,11,8,15,15,4,10
TGME49_224280,1705,1736,1073,1683,1705,1658,1377,1252
TGME49_224290,3647,5096,2581,3292,3647,4837,2867,2921
TGME49_224310,1329,1289,791,1067,1329,1111,933,894
TGME49_224320,407,368,259,320,407,364,303,303
TGME49_224330,1861,2346,1320,1727,1861,2188,1600,1578
TGME49_224340,871,1129,672,839,871,1100,784,781
TGME49_224350,4737,5482,3216,4464,4737,4820,3830,3940
TGME49_224460,25909,31868,21654,26433,25909,28734,25872,23119
TGME49_224470,2305,3112,2023,2541,2305,2862,2225,2359
TGME49_224480,1758,2083,1114,1599,1758,1827,1318,1308
TGME49_224490,548,575,378,493,548,515,471,430
TGME49_224500,0,0,0,0,0,0,0,0
TGME49_224510,1338,1431,805,1236,1338,1350,1008,1068
TGME49_224520,4026,6215,3772,4599,4026,6271,4225,3830
TGME49_224530,3385,4833,3017,3755,3385,4506,3388,3043
TGME49_224540,1597,1889,1214,1722,1597,1680,1408,1540
TGME49_224560,10,18,10,25,10,21,9,17
TGME49_224570,1242,1063,576,837,1242,795,750,808
TGME49_224575,5,8,5,7,5,9,1,1
TGME49_224580,1366,1687,957,1227,1366,1498,1117,1030
TGME49_224590,1140,1550,903,1108,1140,1432,1033,885
TGME49_224600,863,1162,596,835,863,975,747,678
TGME49_224610,1057,999,634,910,1057,902,809,810
TGME49_224620,1384,2072,1102,1584,1384,2023,1340,1326
TGME49_224630,734,924,547,883,734,859,672,776
TGME49_224650,930,1040,646,798,930,966,676,723
TGME49_224660,1912,2676,1293,2073,1912,2416,1698,1764
TGME49_224670,1525,1497,901,1340,1525,1241,1228,1197
TGME49_224675,1,2,1,1,1,2,0,0
TGME49_224680,22,32,85,59,22,21,82,62
TGME49_224700,2549,3538,2139,3151,2549,3252,2531,2762
TGME49_224710,77,165,40,66,77,150,32,55
TGME49_224720,959,1183,701,961,959,1128,854,787
TGME49_224730,863,970,458,665,863,912,556,564
TGME49_224740,1184,1426,758,1070,1184,1454,905,975
TGME49_224750,8,16,0,6,8,20,2,2
TGME49_224760,35,71,36,49,35,70,40,46
TGME49_224770,2,2,4,1,2,1,0,1
TGME49_224780,0,0,0,0,0,0,1,0
TGME49_224790,1,4,1,2,1,2,1,0
TGME49_224800,623,767,377,506,623,669,457,475
TGME49_224810,258,344,214,276,258,288,244,240
TGME49_224820,702,849,529,660,702,786,595,582
TGME49_224830,459,672,344,512,459,651,462,408
TGME49_224840,624,926,622,892,624,890,661,763
TGME49_224845,45,79,42,70,45,91,42,63
TGME49_224850,10112,11118,6641,9769,10112,9507,8210,8497
TGME49_224860,571,741,378,517,571,732,482,499
TGME49_224870,1968,2304,1137,2008,1968,1975,1459,1739
TGME49_224880,1839,2435,1600,2494,1839,2252,2070,2122
TGME49_224890,2521,3309,1817,2543,2521,3252,2105,2196
TGME49_224900,2421,2968,1601,2046,2421,2595,1869,1899
TGME49_224905,0,1,0,0,0,1,0,0
TGME49_224910,734,676,454,597,734,562,493,474
TGME49_224920,1035,1154,677,1034,1035,991,739,851
TGME49_224928,433,487,279,437,433,498,348,449
TGME49_224932,2,4,1,1,2,9,0,0
TGME49_224935,1084,1275,715,975,1084,1210,906,870
TGME49_224940,498,636,315,448,498,573,438,390
TGME49_224950,4036,5062,2892,3952,4036,4897,3445,3622
TGME49_224960,1887,2505,1231,1723,1887,2298,1467,1521
TGME49_224970,2661,3094,1697,2628,2661,2941,2133,2208
TGME49_224980,1228,1383,777,1112,1228,1331,956,1059
TGME49_224990,1322,1649,1041,1301,1322,1626,1143,1199
TGME49_225000,3010,3197,1996,3193,3010,3000,2586,2467
TGME49_225005,104,123,72,85,104,116,74,85
TGME49_225010,2131,2447,1374,1912,2131,2326,1652,1735
TGME49_225020,1631,2118,1424,2029,1631,2037,1624,1694
TGME49_225024,0,1,0,0,0,0,0,0
TGME49_225028,7,13,6,14,7,11,13,3
TGME49_225032,0,0,0,0,0,0,1,0
TGME49_225050,2013,2386,1271,1753,2013,2013,1465,1559
TGME49_225060,1288,1393,821,1105,1288,1235,1010,1005
TGME49_225070,3,6,1,7,3,6,1,3
TGME49_225080,16676,19597,9929,13324,16676,17516,11657,11592
TGME49_225090,1480,1552,929,1291,1480,1363,1139,1128
TGME49_225098,10,26,6,10,10,17,7,13
TGME49_225102,21,28,11,11,21,20,5,8
TGME49_225105,348,581,321,372,348,525,377,290
TGME49_225108,624,701,364,615,624,622,473,532
TGME49_225110,1214,1536,575,1134,1214,1477,673,868
TGME49_225120,14510,17763,9083,11738,14510,17689,10537,10359
TGME49_225125,2344,2421,1247,1909,2344,2157,1565,1611
TGME49_225130,1082,1251,638,879,1082,1139,754,796
TGME49_225140,2,5,0,2,2,3,1,2
TGME49_225150,8208,7227,4697,7069,8208,6552,5592,6278
TGME49_225160,4147,5625,3042,4117,4147,5431,3435,3509
TGME49_225170,1054,1331,649,1002,1054,1323,713,715
TGME49_225190,384,432,238,350,384,397,321,300
TGME49_225200,4471,3970,3017,4400,4471,3452,3654,3993
TGME49_225210,23,10,10,16,23,8,10,20
TGME49_225220,1636,1738,990,1631,1636,1511,1149,1441
TGME49_225230,2088,2457,1736,2227,2088,2405,2155,1753
TGME49_225240,1213,1415,794,997,1213,1283,881,908
TGME49_225250,658,815,434,575,658,736,515,527
TGME49_225260,3044,3754,2096,2679,3044,3432,2573,2333
TGME49_225270,1136,1011,670,1133,1136,880,786,967
TGME49_225280,55,79,26,62,55,82,48,56
TGME49_225290,39,163,129,71,39,120,142,63
TGME49_225300,1506,2513,1356,1846,1506,2479,1513,1584
TGME49_225310,2209,2647,1388,1968,2209,2292,1629,1687
TGME49_225315,34,50,13,17,34,51,12,27
TGME49_225320,1116,972,662,978,1116,880,824,877
TGME49_225330,1452,1434,909,1341,1452,1201,1144,1150
TGME49_225340,2127,2126,1314,2161,2127,1906,1575,1897
TGME49_225350,721,975,505,658,721,826,571,612
TGME49_225360,372,458,229,359,372,422,267,271
TGME49_225370,2,8,0,2,2,6,1,5
TGME49_225380,353,541,264,354,353,518,301,299
TGME49_225400,6,2,8,3,6,6,4,6
TGME49_225410,352,356,232,332,352,298,312,302
TGME49_225413,2,4,1,1,2,1,0,1
TGME49_225420,528,614,351,448,528,523,385,396
TGME49_225430,260,316,192,239,260,314,216,196
TGME49_225435,0,0,0,0,0,0,0,0
TGME49_225440,433,523,256,376,433,437,305,386
TGME49_225450,538,639,309,442,538,524,426,405
TGME49_225460,1,2,2,1,1,0,0,0
TGME49_225470,1202,1577,928,1138,1202,1423,1124,987
TGME49_225480,1079,1262,800,1076,1079,1177,950,1004
TGME49_225490,6765,8574,4525,6846,6765,8220,5475,5855
TGME49_225500,1434,1802,1137,1445,1434,1716,1306,1233
TGME49_225510,5565,6907,4067,5520,5565,7062,4934,4930
TGME49_225520,99,100,68,66,99,80,57,79
TGME49_225530,2478,3116,1647,2227,2478,2898,1966,1884
TGME49_225540,4846,7878,4841,5870,4846,8012,5638,4945
TGME49_225550,2470,3189,1764,2386,2470,2919,2121,2025
TGME49_225555,3147,3684,2269,2725,3147,3554,2527,2436
TGME49_225560,14053,21124,11668,15782,14053,20382,13754,13998
TGME49_225570,4,16,3,13,4,21,1,0
TGME49_225580,1000,1097,584,728,1000,962,685,657
TGME49_225590,5,1,1,2,5,1,1,0
TGME49_225680,186,348,261,234,186,296,286,195
TGME49_225690,3775,5968,3659,5141,3775,5478,4325,4429
TGME49_225710,453,574,333,399,453,535,413,363
TGME49_225720,493,642,367,438,493,631,392,369
TGME49_225730,2035,3080,1601,2077,2035,2743,1836,1707
TGME49_225745,934,1348,647,1123,934,1195,1007,1065
TGME49_225770,1555,1727,1040,1386,1555,1539,1308,1303
TGME49_225780,1276,1481,866,1190,1276,1316,1011,1106
TGME49_225790,1841,3985,3003,2991,1841,3917,3345,2534
TGME49_225800,1447,1755,899,1284,1447,1583,1082,1079
TGME49_225810,1405,1968,1054,1485,1405,1786,1277,1262
TGME49_225820,1239,1975,1166,1491,1239,1934,1428,1436
TGME49_225830,1424,1626,977,1335,1424,1543,1181,1176
TGME49_225840,1323,1321,772,1100,1323,1191,950,1016
TGME49_225850,2801,3686,2105,2905,2801,3402,2619,2511
TGME49_225860,2061,2106,1421,2262,2061,1851,1709,1927
TGME49_225870,4172,5648,3666,5155,4172,5427,4257,4339
TGME49_225880,705,951,461,605,705,858,598,552
TGME49_225890,1395,1508,800,1349,1395,1436,1069,1056
TGME49_225900,1020,1500,810,1199,1020,1327,956,999
TGME49_225905,41,60,26,42,41,45,46,52
TGME49_225910,940,1007,595,860,940,917,712,709
TGME49_225920,1623,1931,1186,1598,1623,1720,1421,1425
TGME49_225930,3044,3860,2285,2997,3044,3692,2601,2582
TGME49_225940,2043,2864,1714,2142,2043,2641,2073,1911
TGME49_225950,5,21,4,12,5,16,5,6
TGME49_225953,3,1,3,1,3,0,2,0
TGME49_225955,3,5,0,1,3,1,5,0
TGME49_225958,0,1,2,2,0,0,0,0
TGME49_225960,1877,1675,1014,1761,1877,1483,1347,1601
TGME49_225970,238,209,152,235,238,172,177,203
TGME49_225980,993,1310,675,1041,993,1166,836,841
TGME49_225990,624,665,442,545,624,555,507,510
TGME49_226000,1460,1869,1110,1348,1460,1734,1236,1165
TGME49_226010,230,262,150,182,230,216,176,172
TGME49_226020,10097,14511,7695,10124,10097,14158,8849,8726
TGME49_226030,3634,4719,2640,3600,3634,4365,3097,3131
TGME49_226040,1226,1751,1066,1373,1226,1535,1211,1224
TGME49_226050,1658,2256,1166,1750,1658,2010,1419,1462
TGME49_226060,2956,3798,1817,2902,2956,3612,2154,2421
TGME49_226068,1535,1757,1021,1478,1535,1625,1204,1306
TGME49_226072,4510,5927,3417,4614,4510,5551,4304,3805
TGME49_226080,718,829,487,719,718,779,612,564
TGME49_226090,632,729,431,642,632,694,569,523
TGME49_226100,75,120,49,81,75,85,68,66
TGME49_226110,20,15,11,9,20,25,11,9
TGME49_226220,485,571,420,602,485,510,458,606
TGME49_226230,7,13,3,4,7,8,1,9
TGME49_226240,581,676,410,470,581,665,460,466
TGME49_226245,3,0,0,0,3,0,0,0
TGME49_226250,5561,6960,3562,5349,5561,6567,4220,4226
TGME49_226260,1784,2416,1557,1825,1784,2469,1799,1591
TGME49_226270,972,1202,642,933,972,1145,850,784
TGME49_226280,498,556,316,429,498,504,396,333
TGME49_226290,4881,6597,3690,4948,4881,6001,4200,4324
TGME49_226300,3,15,5,4,3,8,7,2
TGME49_226310,407,619,1455,1070,407,552,1692,975
TGME49_226320,1378,1688,897,1278,1378,1551,1052,1123
TGME49_226330,435,420,282,360,435,398,340,300
TGME49_226340,1665,1931,1187,1799,1665,1778,1415,1519
TGME49_226350,896,1025,550,819,896,969,616,720
TGME49_226370,1404,1698,856,1304,1404,1567,1045,1119
TGME49_226380,6816,9103,5340,7384,6816,9347,6124,6420
TGME49_226385,5,4,0,2,5,2,2,1
TGME49_226390,785,1024,509,757,785,958,622,659
TGME49_226400,1439,1917,939,1439,1439,1758,1148,1259
TGME49_226410,6041,7071,4086,4956,6041,6412,4695,4442
TGME49_226420,3013,4708,2893,3601,3013,4313,3399,3206
TGME49_226430,4733,6382,3619,4446,4733,5604,4213,4009
TGME49_226440,1722,1926,1030,1550,1722,1856,1278,1401
TGME49_226450,6,5,3,6,6,11,5,4
TGME49_226460,354,453,280,341,354,476,299,342
TGME49_226470,3971,4983,2888,4373,3971,4712,3630,3712
TGME49_226480,535,603,301,442,535,549,380,389
TGME49_226490,10,9,2,3,10,6,1,3
TGME49_226500,2323,3065,1608,2035,2323,2928,1758,1789
TGME49_226510,2267,2450,1463,2134,2267,2254,1860,1817
TGME49_226515,39,48,21,42,39,64,27,28
TGME49_226520,1228,1595,855,1097,1228,1540,954,981
TGME49_226532,233,508,119,232,233,448,152,184
TGME49_226540,2087,2722,1537,2273,2087,2940,1719,1924
TGME49_226550,1000,1220,688,921,1000,1261,825,786
TGME49_226560,957,1234,714,938,957,1319,884,884
TGME49_226565,79,86,49,70,79,85,59,51
TGME49_226570,5566,7129,4254,5417,5566,6789,4724,4767
TGME49_226580,3039,3813,2080,2741,3039,3659,2458,2246
TGME49_226590,5218,6484,3185,4634,5218,5787,3861,4101
TGME49_226600,1032,1070,612,904,1032,1015,715,820
TGME49_226610,10,28,19,15,10,18,11,16
TGME49_226620,1574,1448,846,1383,1574,1199,1026,1198
TGME49_226640,331,476,263,332,331,418,255,304
TGME49_226650,369,475,264,353,369,433,281,336
TGME49_226660,2618,3055,1778,2721,2618,2783,2203,2216
TGME49_226670,363,344,280,377,363,359,329,285
TGME49_226680,1884,2378,1516,2265,1884,2183,1888,1876
TGME49_226690,546,417,346,586,546,408,376,504
TGME49_226700,485,684,359,559,485,609,429,434
TGME49_226705,1023,1277,752,956,1023,1141,920,841
TGME49_226710,4836,4177,2921,4338,4836,3784,3313,3855
TGME49_226720,1139,1463,871,1207,1139,1253,1013,1132
TGME49_226730,3374,3973,2381,3320,3374,3545,2946,2910
TGME49_226740,4382,6184,3601,4606,4382,6028,4234,3978
TGME49_226755,2688,2824,2128,3251,2688,2556,2719,2876
TGME49_226780,651,718,421,603,651,716,607,501
TGME49_226790,1103,1442,812,1210,1103,1228,986,985
TGME49_226800,675,722,450,689,675,674,647,561
TGME49_226810,2780,3050,1656,2695,2780,2677,2234,2264
TGME49_226820,37,48,17,22,37,32,22,33
TGME49_226825,0,2,0,0,0,4,0,0
TGME49_226830,5973,7389,4146,6896,5973,6935,4999,5916
TGME49_226840,918,1030,612,752,918,1004,713,686
TGME49_226850,1362,1667,984,1394,1362,1490,1125,1108
TGME49_226860,6145,9370,5286,7080,6145,8970,6183,6246
TGME49_226870,807,1017,496,684,807,896,601,608
TGME49_226880,0,5,2,2,0,1,2,4
TGME49_226890,702,710,382,632,702,655,539,573
TGME49_226900,1187,1426,748,1013,1187,1396,897,894
TGME49_226910,1761,2124,1420,2010,1761,1827,1668,1655
TGME49_226920,1891,2489,1337,1864,1891,2298,1648,1608
TGME49_226925,14,16,19,15,14,11,9,9
TGME49_226930,3,0,0,1,3,1,2,0
TGME49_226940,797,927,537,725,797,873,615,632
TGME49_226950,2037,2705,1490,2175,2037,2502,1881,1861
TGME49_226960,11368,14505,7781,10568,11368,13042,9542,9030
TGME49_226970,12105,14001,7752,10326,12105,13003,8906,9009
TGME49_226980,1690,2075,1206,1576,1690,1959,1390,1428
TGME49_226985,40,52,32,39,40,39,57,29
TGME49_226990,782,1167,729,977,782,1215,806,832
TGME49_227000,1940,1731,1208,1881,1940,1647,1477,1675
TGME49_227010,867,1129,549,861,867,1111,664,744
TGME49_227015,62,83,43,57,62,56,48,58
TGME49_227020,1420,1939,1050,1338,1420,1713,1221,1227
TGME49_227030,1390,1820,1123,1497,1390,1680,1237,1272
TGME49_227040,0,0,0,0,0,0,0,0
TGME49_227050,658,1010,512,1033,658,875,547,811
TGME49_227060,1327,1733,826,1156,1327,1571,1036,1044
TGME49_227070,3,5,5,6,3,7,3,4
TGME49_227080,333,423,218,264,333,323,250,259
TGME49_227090,23,23,7,16,23,13,18,11
TGME49_227100,3,18,5,2,3,16,2,8
TGME49_227115,442,641,307,464,442,495,359,384
TGME49_227130,19,15,10,11,19,13,11,12
TGME49_227140,406,521,289,394,406,509,357,338
TGME49_227150,4836,5890,3282,4441,4836,5500,3923,4013
TGME49_227260,690,929,399,628,690,846,570,564
TGME49_227270,468,666,338,501,468,633,381,431
TGME49_227275,124,194,96,125,124,175,97,101
TGME49_227280,104126,144102,81609,105555,104126,135141,92349,92676
TGME49_227290,3999,4797,2753,3916,3999,4598,3425,3413
TGME49_227300,500,565,301,470,500,520,328,420
TGME49_227310,519,656,338,454,519,606,418,390
TGME49_227320,501,440,272,435,501,369,308,408
TGME49_227330,2185,2311,1386,1852,2185,1993,1624,1690
TGME49_227335,342,384,154,246,342,322,180,234
TGME49_227350,1040,1092,761,976,1040,911,816,847
TGME49_227360,17551,20499,11048,14365,17551,19020,12610,12025
TGME49_227370,21,33,10,29,21,31,19,18
TGME49_227380,13331,14767,9114,11925,13331,13440,10899,10827
TGME49_227390,773,1068,615,817,773,1060,783,726
TGME49_227400,225,265,117,197,225,254,163,165
TGME49_227410,854,777,549,713,854,730,676,601
TGME49_227420,1323,1515,865,1131,1323,1419,1028,998
TGME49_227430,1190,1798,1489,1246,1190,1523,1776,1193
TGME49_227440,1249,1680,850,1098,1249,1695,964,1026
TGME49_227450,2258,2531,1435,2107,2258,2299,1740,1726
TGME49_227560,1671,2161,1089,1473,1671,2027,1372,1359
TGME49_227570,2569,3137,1814,2480,2569,2961,2121,2139
TGME49_227580,4908,5630,3054,4387,4908,5455,3591,3770
TGME49_227590,4,1,2,2,4,10,1,3
TGME49_227600,11909,14018,6990,10604,11909,13363,8047,9386
TGME49_227610,1316,1806,836,1266,1316,1582,1046,1111
TGME49_227615,110,121,80,120,110,94,89,87
TGME49_227620,116638,175002,91581,117226,116638,176503,104749,98903
TGME49_227630,59,219,19,76,59,222,16,52
TGME49_227640,300,257,165,254,300,183,204,203
TGME49_227650,712,649,436,651,712,530,512,567
TGME49_227660,372,509,260,373,372,401,363,308
TGME49_227780,2106,2603,1388,1940,2106,2323,1749,1794
TGME49_227790,1008,1158,682,901,1008,1143,754,809
TGME49_227800,2162,2706,1610,2404,2162,2493,2074,1955
TGME49_227810,3712,3912,2734,3928,3712,3847,3220,3423
TGME49_227820,1267,1157,851,1289,1267,1034,1036,1015
TGME49_227830,1566,1871,1024,1348,1566,1743,1176,1073
TGME49_227840,2370,3046,1852,2327,2370,2964,2076,2018
TGME49_227850,473,535,323,433,473,521,367,393
TGME49_227860,719,904,525,723,719,942,629,576
TGME49_227870,390,477,254,306,390,432,305,328
TGME49_227875,57,63,79,84,57,84,75,66
TGME49_227880,58,74,46,69,58,65,38,48
TGME49_227890,383,454,275,380,383,428,307,325
TGME49_227900,2197,2045,1259,2106,2197,2025,1629,1693
TGME49_227910,2411,3062,1732,2229,2411,2797,1881,1927
TGME49_227920,599,681,392,523,599,657,454,493
TGME49_227930,2202,1987,1325,2026,2202,1822,1776,1865
TGME49_227940,0,0,0,0,0,0,0,0
TGME49_227948,5300,6890,3971,5367,5300,6253,4834,4607
TGME49_227952,1566,2364,1489,1868,1566,2181,1665,1616
TGME49_227960,2648,3078,1787,2493,2648,2666,2105,2109
TGME49_227970,2186,2695,1849,2204,2186,2226,2198,1801
TGME49_227980,635,693,399,597,635,628,453,459
TGME49_227990,770,800,555,686,770,701,689,587
TGME49_227995,65,46,54,53,65,62,50,59
TGME49_228000,1170,1464,821,1019,1170,1335,926,907
TGME49_228010,754,974,531,737,754,916,639,557
TGME49_228020,26,24,20,18,26,29,20,23
TGME49_228030,369,394,279,328,369,351,338,281
TGME49_228040,517,701,313,476,517,647,417,424
TGME49_228050,10,32,18,20,10,26,15,16
TGME49_228060,574,600,390,550,574,609,459,499
TGME49_228065,45,45,13,33,45,51,22,22
TGME49_228070,1696,1834,1200,1565,1696,1700,1403,1452
TGME49_228075,0,0,0,0,0,1,3,1
TGME49_228080,1355,1559,907,1237,1355,1465,1176,1123
TGME49_228100,1961,2575,1426,1915,1961,2300,1657,1579
TGME49_228110,757,1044,549,778,757,1087,605,647
TGME49_228120,3566,4144,2301,3660,3566,3775,3159,3057
TGME49_228130,1774,2279,1285,1549,1774,2079,1479,1466
TGME49_228140,182,182,102,149,182,172,132,137
TGME49_228145,131,183,58,108,131,182,70,91
TGME49_228150,3393,3240,2106,3201,3393,3231,2771,2612
TGME49_228160,2161,3394,1773,2455,2161,3464,2009,2044
TGME49_228170,12824,17512,9207,14182,12824,17145,11269,12104
TGME49_228175,9,23,0,5,9,30,1,2
TGME49_228180,1976,1911,1061,1393,1976,1720,1347,1318
TGME49_228190,2915,3735,1692,2333,2915,3421,2117,2048
TGME49_228200,2288,2833,1633,2263,2288,2596,1850,1925
TGME49_228210,1486,1874,1055,1472,1486,1604,1268,1250
TGME49_228220,4,6,2,0,4,2,2,0
TGME49_228230,8815,7529,6036,9692,8815,7050,7271,8375
TGME49_228240,51,50,23,40,51,44,25,29
TGME49_228250,1679,1860,1031,1383,1679,1759,1221,1252
TGME49_228270,383,372,246,343,383,328,258,303
TGME49_228280,421,467,292,397,421,483,370,313
TGME49_228290,1877,2215,1313,1740,1877,2087,1586,1513
TGME49_228300,431,564,279,363,431,503,343,309
TGME49_228310,1,1,2,0,1,0,1,1
TGME49_228320,583,678,373,501,583,677,444,416
TGME49_228330,1164,1284,789,1118,1164,1281,988,912
TGME49_228340,686,845,508,757,686,708,659,610
TGME49_228350,683,864,523,629,683,774,642,540
TGME49_228360,1723,2050,1342,1568,1723,1934,1551,1317
TGME49_228370,596,776,418,608,596,671,541,550
TGME49_228380,824,1012,545,806,824,959,640,677
TGME49_228390,1431,1682,813,1280,1431,1566,990,1185
TGME49_228395,550,353,281,410,550,336,372,364
TGME49_228400,1329,1674,929,1227,1329,1496,1090,1101
TGME49_228410,53,58,13,34,53,61,21,40
TGME49_228420,0,0,1,0,0,0,0,1
TGME49_228430,2,1,2,1,2,2,3,1
TGME49_228440,0,1,2,0,0,0,1,0
TGME49_228460,1069,1402,811,1088,1069,1244,911,966
TGME49_228470,18305,21825,11811,16878,18305,19717,13508,14398
TGME49_228480,83,86,48,52,83,69,51,57
TGME49_228490,955,1075,595,829,955,969,663,727
TGME49_228500,1,1,3,2,1,0,1,0
TGME49_228510,1,1,0,0,1,1,0,1
TGME49_228620,1,1,0,5,1,4,0,0
TGME49_228630,2038,2118,1221,1592,2038,1844,1461,1427
TGME49_228640,98,56,45,95,98,52,66,76
TGME49_228660,3365,2998,1926,3036,3365,2653,2434,2634
TGME49_228670,1171,1316,765,1192,1171,1173,910,935
TGME49_228680,10,17,7,7,10,7,4,2
TGME49_228690,3044,2824,1818,3034,3044,2519,2404,2564
TGME49_228710,491,539,371,436,491,530,381,389
TGME49_228720,457,465,310,413,457,467,368,338
TGME49_228730,1126,1294,654,964,1126,1182,833,889
TGME49_228750,2457,2463,1522,2210,2457,2286,1956,1825
TGME49_228760,7215,9611,5778,7524,7215,8903,6676,6481
TGME49_228770,1041,1232,550,784,1041,1107,707,792
TGME49_228780,1616,1612,980,1286,1616,1496,1266,1186
TGME49_228980,147,223,111,163,147,187,121,150
TGME49_228990,127,148,119,144,127,171,121,126
TGME49_229000,4731,6786,3885,5470,4731,6489,4676,4879
TGME49_229005,2,3,2,0,2,4,1,4
TGME49_229010,10747,8911,6013,9288,10747,8155,7260,8381
TGME49_229020,860,886,543,789,860,778,630,628
TGME49_229030,955,846,552,739,955,710,617,641
TGME49_229140,508,733,946,1022,508,735,1050,871
TGME49_229150,163,172,118,170,163,166,146,126
TGME49_229160,520,681,376,506,520,601,400,438
TGME49_229170,43,43,29,44,43,44,27,34
TGME49_229180,2678,3462,1683,2401,2678,2852,1990,2023
TGME49_229190,67,59,41,75,67,57,59,63
TGME49_229200,448,520,296,472,448,442,329,403
TGME49_229210,1483,1758,896,1202,1483,1625,1032,1113
TGME49_229220,2283,2058,1581,1785,2283,1743,1917,1536
TGME49_229230,0,0,1,1,0,1,0,1
TGME49_229240,22,35,2,9,22,25,1,8
TGME49_229250,9882,12244,6148,8728,9882,11031,7323,7929
TGME49_229260,685,621,543,968,685,568,592,830
TGME49_229270,0,0,2,0,0,1,0,1
TGME49_229280,1610,2651,1780,2170,1610,2347,1986,1604
TGME49_229290,316,413,217,288,316,352,266,212
TGME49_229300,47,34,18,43,47,33,48,41
TGME49_229310,1354,1488,769,1324,1354,1342,1048,1131
TGME49_229320,7,20,4,8,7,13,1,5
TGME49_229330,3,5,6,6,3,10,5,4
TGME49_229340,847,894,476,659,847,828,527,524
TGME49_229350,399,357,225,422,399,320,244,325
TGME49_229360,2263,2775,1663,2093,2263,2511,1835,1889
TGME49_229370,1385,1538,778,1268,1385,1306,991,982
TGME49_229380,867,869,594,766,867,891,665,701
TGME49_229390,745,951,516,815,745,921,744,702
TGME49_229405,149,192,79,162,149,188,106,125
TGME49_229420,1138,1329,663,1095,1138,1282,816,998
TGME49_229440,1609,2081,1059,1542,1609,1884,1241,1369
TGME49_229450,1180,1417,800,1053,1180,1349,862,951
TGME49_229460,1390,1720,800,1285,1390,1524,1036,1103
TGME49_229470,1081,1274,655,986,1081,1160,821,931
TGME49_229480,10805,11551,6633,9832,10805,10561,7633,8466
TGME49_229490,1476,2060,1065,1451,1476,1837,1223,1319
TGME49_229500,737,795,545,723,737,632,671,644
TGME49_229620,788,1008,618,787,788,945,708,665
TGME49_229630,7702,9014,4858,7851,7702,8512,6401,6491
TGME49_229640,1919,2824,1736,2474,1919,2542,1973,1849
TGME49_229650,1308,1786,1138,1615,1308,1508,1349,1267
TGME49_229660,13,12,8,12,13,16,6,11
TGME49_229670,10342,12155,6265,8613,10342,11112,7151,7316
TGME49_229680,696,990,560,764,696,901,675,628
TGME49_229690,1195,1350,772,1075,1195,1250,923,980
TGME49_229700,128,140,68,113,128,90,87,123
TGME49_229710,957,1255,747,1087,957,1206,872,963
TGME49_229720,777,827,424,690,777,733,534,569
TGME49_229730,8,3,4,5,8,12,8,6
TGME49_229740,577,743,380,484,577,670,488,464
TGME49_229750,1141,1406,864,1108,1141,1348,1008,927
TGME49_229760,45,31,31,26,45,49,28,37
TGME49_229770,641,771,488,628,641,769,558,549
TGME49_229780,911,736,604,731,911,689,669,605
TGME49_229790,933,1161,667,1053,933,1032,820,853
TGME49_229800,7,5,3,4,7,9,9,9
TGME49_229900,726,654,408,553,726,618,480,478
TGME49_229910,94,110,60,65,94,99,64,72
TGME49_229915,3,11,3,2,3,2,1,2
TGME49_229920,4102,5361,3136,4032,4102,4862,3577,3473
TGME49_229930,2659,4571,2515,3116,2659,4556,2860,2719
TGME49_229940,857,1014,605,829,857,981,682,756
TGME49_229950,2455,2901,1728,2376,2455,2593,1945,2022
TGME49_229960,0,0,0,1,0,0,0,1
TGME49_229970,0,1,0,1,0,1,2,0
TGME49_229980,0,0,0,0,0,0,0,1
TGME49_229990,2801,3506,1862,2444,2801,3114,2186,2168
TGME49_230000,2935,1851,1172,2358,2935,1629,1604,1919
TGME49_230010,1352,1619,968,1411,1352,1507,1039,1091
TGME49_230020,1,0,1,0,1,1,0,0
TGME49_230030,503,628,328,457,503,587,402,377
TGME49_230040,111,150,75,97,111,123,82,79
TGME49_230050,458,633,323,443,458,568,406,401
TGME49_230060,643,719,481,563,643,645,518,525
TGME49_230070,594,910,519,629,594,768,549,563
