Geneid,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4
ZDHHC23,33,20,51,27,88,30,82,65
ZDHHC24,63,74,78,46,154,115,144,85
ZDHHC3,192,231,122,87,460,528,366,372
ZDHHC3_1,1,0,0,0,0,0,0,0
ZDHHC4,16,15,20,8,53,39,52,40
ZDHHC5,700,1043,822,622,2422,2721,2129,2362
ZDHHC6,249,355,382,216,819,745,740,616
ZDHHC7,379,560,335,367,1648,2408,1819,2020
ZDHHC8,38,36,85,47,77,56,190,68
ZDHHC8BP,0,0,0,0,0,0,0,0
ZDHHC8BP_1,0,0,0,0,0,0,0,0
ZDHHC9,10,6,24,5,27,41,30,21
ZEB1,324,358,340,263,1323,1234,1092,1275
ZEB1-AS1,15,18,19,10,68,62,54,83
ZEB2,1228,1028,1485,776,3829,1622,2188,2046
ZEB2-AS1,2,0,0,1,3,2,2,3
ZER1,584,668,435,342,2575,2852,2363,2255
ZFAND1,19,10,35,8,48,40,75,25
ZFAND2A,85,173,64,72,169,462,169,342
ZFAND2A-DT,0,8,2,0,5,16,12,6
ZFAND2B,658,864,493,423,900,1435,769,897
ZFAND3,836,1178,912,441,2978,3916,3290,2426
ZFAND3-DT,0,0,2,1,6,2,1,6
ZFAND4,58,60,49,23,91,43,81,73
ZFAND5,3215,2390,4571,1962,4221,4075,3154,3589
ZFAND6,581,632,528,355,1478,1615,1124,1194
ZFAS1,321,335,240,190,1105,937,786,883
ZFAT,116,88,105,68,276,244,195,197
ZFAT-AS1,0,0,0,0,0,0,2,0
ZFC3H1,491,382,797,361,2945,1488,1918,1745
ZFHX2,6,9,18,7,10,12,11,5
ZFHX3,11,11,12,5,37,20,47,17
ZFHX3-AS1,0,0,0,0,0,0,0,0
ZFHX4,0,0,1,0,0,0,0,0
ZFHX4-AS1,0,0,0,0,0,0,0,0
ZFP1,3,1,5,2,7,2,13,2
ZFP1_1,0,0,0,0,0,0,0,0
ZFP14,6,5,23,6,42,21,68,35
ZFP2,0,1,2,0,0,0,2,0
ZFP28,10,13,21,18,19,4,35,24
ZFP28-DT,0,0,0,0,0,0,0,0
ZFP3,8,11,19,9,25,11,72,28
ZFP30,4,4,7,4,18,11,32,16
ZFP36,3117,3780,6133,2054,10411,8373,5864,8129
ZFP36L1,9055,7496,7073,3877,17751,11337,13449,11784
ZFP36L2,5218,5580,3265,2867,37827,33749,27657,31343
ZFP37,2,2,3,0,1,0,9,2
ZFP3-DT,0,0,0,0,0,0,0,0
ZFP41,9,3,12,4,18,12,49,13
ZFP42,0,0,0,0,0,0,0,0
ZFP57,0,0,0,0,0,0,0,0
ZFP57_1,0,0,0,0,0,0,0,0
ZFP57_2,0,0,0,0,0,0,0,0
ZFP57_3,0,0,0,0,0,0,0,0
ZFP57_4,0,0,0,0,0,0,0,0
ZFP57_5,0,0,0,0,0,0,0,0
ZFP57_6,0,0,0,0,0,0,0,0
ZFP57_7,0,0,0,0,0,0,0,0
ZFP62,43,62,133,65,165,96,215,96
ZFP64,2,3,8,3,5,8,19,9
ZFP69,4,0,6,1,7,7,24,6
ZFP69B,3,0,5,2,15,6,32,18
ZFP82,3,3,6,3,16,8,20,8
ZFP90,28,13,66,10,109,41,189,41
ZFP91,518,488,494,372,1340,732,989,1003
ZFP91-CNTF,0,0,0,0,0,0,0,0
ZFP92,32,61,53,41,101,117,186,127
ZFPL1,110,118,101,72,267,319,294,281
ZFPM1,17,11,24,8,48,30,59,33
ZFPM1-AS1,0,0,0,0,1,0,2,1
ZFPM2,0,2,1,0,0,2,1,0
ZFPM2-AS1,0,0,0,0,0,0,0,0
ZFR,319,410,319,272,882,733,720,747
ZFR2,0,0,1,0,3,2,7,1
ZFTA,7,6,12,4,18,10,39,16
ZFTRAF1,9,18,6,8,13,19,16,12
ZFX,660,622,354,310,1658,1286,957,1046
