Geneid,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
ABLIM3,7,19,6,4,9,29,6,5
ABO,7,1,3,5,2,2,3,3
ABO_1,4,4,1,2,3,3,1,2
ABR,18,18,103,9,20,121,40,21
ABR_1,1,66,1,0,1,1,1,2
ABR_2,1,27,44,27,1,4,89,1
ABRA,0,0,0,1,0,0,0,0
ABRACL,191,186,240,211,362,450,510,295
ABR-AS1,0,0,0,0,0,0,0,0
ABR-AS1_1,0,0,0,0,0,0,0,0
ABRAXAS1,62,52,64,51,48,51,75,23
ABRAXAS2,131,87,149,117,95,113,226,113
ABT1,0,34,0,19,0,31,0,30
ABT1_1,68,27,57,22,36,26,79,26
ABTB1,15533,20385,15917,15987,3982,14107,12629,9739
ABTB2,76,68,88,55,352,414,443,317
ABTB3,182,84,303,75,214,105,507,97
ACAA1,2362,4740,1889,1985,7290,7068,7701,4840
ACAA2,72,47,92,52,49,24,140,34
ACACA,0,0,0,0,1,0,0,0
ACACA_1,0,0,1,0,1,1,0,1
ACACB,196,78,204,96,98,32,147,55
ACAD10,236,204,250,188,152,207,297,176
ACAD11,0,0,0,0,0,0,0,0
ACAD8,221,157,263,206,130,76,334,117
ACAD9,86,106,137,47,64,148,205,68
ACAD9-DT,5,6,4,2,6,19,7,3
ACADL,0,0,0,0,0,0,0,0
ACADM,71,29,86,59,50,36,123,29
ACADS,23,36,71,34,23,31,83,27
ACADSB,68,35,121,69,67,36,199,51
ACADVL,2001,2085,1472,1186,1682,2080,1970,968
ACAN,0,0,1,0,0,0,1,0
ACAP1,0,0,0,0,0,0,0,0
ACAP1_1,1,3,1,0,1,0,0,0
