Geneid,RH_1,RH_2,RH_3,RH_4,LPS_1,LPS_2,LPS_3,LPS_4
CTAGE4,0,0,0,0,0,0,0,0
CTAGE4_1,0,0,0,0,1,0,0,0
CTAGE6,0,0,0,0,0,0,0,0
CTAGE6_1,0,0,0,0,0,0,0,0
CTAGE7P,1,0,0,0,6,1,8,5
CTAGE8,0,0,0,0,0,0,0,0
CTAGE8_1,0,0,0,0,0,0,0,0
CTAGE9,0,0,0,0,0,0,0,0
CTB-1I21.1,0,0,0,0,0,0,0,0
CTB-30L5.1,1,0,0,0,1,1,0,1
CTB-3M24.3,0,0,0,0,0,0,0,0
CTB-49A3.2,0,0,0,0,0,0,2,0
CTB-99A3.1,0,0,0,0,0,0,0,0
CTBP1,453,677,505,354,329,600,938,335
CTBP1-AS,63,78,72,56,45,41,69,29
CTBP1-DT,22,62,27,26,19,32,85,15
CTBP2,312,349,289,171,881,787,1097,754
CTBS,809,766,523,408,3486,2256,2938,1933
CTC1,805,1019,1201,590,3329,2582,4321,2085
CTC-338M12.4,2,4,1,0,14,11,24,18
CTCF,561,625,586,426,572,893,1652,845
CTCF-DT,2,0,0,0,1,3,3,0
CTCFL,0,0,0,1,0,0,0,0
CTD-2154B17.1,0,0,0,0,0,0,0,0
CTD-2194D22.4,0,0,0,0,0,0,0,0
CTD-2350J17.1,0,0,0,0,0,0,0,0
CTDNEP1,155,264,173,128,523,941,846,537
CTDNEP1_1,0,0,1,0,0,1,0,0
CTDP1,294,816,288,280,286,583,540,333
CTDP1_1,1,0,0,0,0,0,0,0
CTDP1-DT,0,0,0,0,0,0,0,0
CTDP1-DT_1,0,0,0,0,0,0,0,0
CTDSP1,1691,2137,1056,940,5435,6658,6776,5077
CTDSP2,2468,2453,1435,961,6667,8155,9492,5853
CTDSPL,40,56,40,46,201,112,225,99
CTDSPL_1,0,0,0,0,0,0,0,0
CTDSPL2,686,555,482,282,283,129,521,170
CTF1,0,4,0,1,0,1,1,1
CTH,40,33,19,31,5,0,3,1
CTHRC1,0,1,0,0,0,2,0,0
CTIF,0,0,0,0,0,0,0,0
CTIF_1,0,1,0,0,0,0,0,1
CTLA4,10,6,22,4,23,5,67,7
CTNNA1,826,951,434,367,1751,1584,1101,881
CTNNA1-AS1,0,0,0,0,0,0,0,0
CTNNA2,0,1,0,0,1,0,1,0
CTNNA2-AS1,0,0,0,0,0,0,0,0
CTNNA3,0,0,0,0,0,0,0,0
CTNNAL1,379,755,324,241,44,105,88,31
CTNNB1,1164,1238,1019,855,3998,3104,4494,2996
CTNNBIP1,29,79,37,31,12,49,60,24
CTNNBL1,60,189,144,113,156,195,369,147
CTNND1,3,1,1,0,9,8,18,7
CTNND2,1,0,0,0,2,1,0,0
CTNS,260,368,469,300,319,573,795,426
CTPS1,42,50,49,38,51,15,93,25
CTPS2,17,23,13,19,11,3,34,7
CTR9,238,258,351,172,997,946,1796,807
CTRB1,0,0,0,0,0,0,0,0
CTRB1_1,0,0,0,0,0,0,0,0
CTRB2,0,0,0,0,0,0,0,0
CTRB2_1,0,0,0,0,0,0,0,0
CTRC,5,7,12,0,28,76,127,14
CTRL,62,102,51,48,280,338,374,296
CTSA,337,517,675,550,666,1787,1752,1097
CTSB,171,143,59,16,269,508,239,71
CTSB_1,64,44,101,25,79,149,356,76
CTSC,724,2273,678,671,431,4974,1903,3006
CTSD,3702,4110,7432,5571,6274,35826,21647,14851
CTSE,0,0,0,0,0,0,0,0
CTSF,2,1,12,1,8,5,51,6
CTSG,1,3,4,0,0,6,20,3
CTSH,67,60,133,56,871,621,1896,1386
CTSK,25,19,15,7,65,55,114,49
CTSL,72,45,115,45,322,138,303,37
CTSL3P,0,1,0,0,1,0,0,0
CTSLP2,0,0,0,0,0,0,0,0
CTSLP8,0,0,0,0,0,0,0,0
CTSO,0,0,0,0,0,0,0,0
CTSO_1,0,0,0,0,0,0,0,0
CTSS,6102,10448,6444,5160,30259,32843,37406,25414
CTSV,18,19,18,14,1,1,1,0
CTSW,11,9,124,15,58,38,695,83
CTSZ,639,874,640,432,1293,3163,3509,2089
CTTN,0,0,0,0,0,0,0,0
CTTN_1,0,0,0,0,0,0,0,0
CTTNBP2,1,0,1,0,0,0,0,0
CTTNBP2NL,2,0,2,0,8,8,15,4
CTTN-DT,0,0,0,0,0,0,0,0
CTTN-DT_1,0,0,0,0,0,0,0,0
CTU1,6,10,5,1,26,51,53,26
CTU2,37,62,56,51,92,71,168,39
CTXN1,0,0,1,0,0,0,0,0
CTXN2,0,0,0,0,0,0,0,6
CTXN2-AS1,0,0,0,2,0,1,2,2
CTXN3,0,0,0,0,0,0,0,0
CTXND1,0,0,0,0,2,2,3,1
CTXND2,0,1,0,0,0,0,0,1
CUBN,5,15,21,4,17,39,82,10
CUEDC1,122,146,57,77,125,291,249,218
CUEDC2,39,39,52,15,192,206,391,213
CUL1,198,216,199,129,308,166,582,163
CUL2,236,256,210,182,227,197,387,243
CUL3,545,553,520,352,2944,2477,3830,2387
CUL4A,252,458,359,315,373,340,763,270
CUL4B,448,313,289,200,963,1080,1863,1001
CUL5,60,35,73,34,167,119,305,108
CUL7,29,42,23,14,69,135,210,107
CUL9,154,169,209,112,369,457,916,357
CUTA,0,0,0,0,0,0,0,0
CUTA_1,0,0,0,0,0,0,0,0
CUTALP,488,53,55,153,1306,234,388,538
CUTC,77,74,50,43,106,165,263,149
CUX1,396,258,417,154,5453,1593,4834,1677
CUX2,0,0,0,0,1,0,5,0
CUZD1,0,0,0,0,0,0,0,0
CWC15,101,141,133,78,422,584,806,454
CWC22,185,226,272,162,1536,1107,1857,1183
CWC25,0,0,0,0,0,1,1,0
CWC25_1,4,1,33,2,156,10,7,8
CWC27,11,7,18,8,23,19,105,19
CWF19L1,118,185,175,121,376,554,847,562
CWF19L2,32,20,40,23,125,45,241,86
CWH43,0,0,0,0,0,0,1,0
CX3CL1,0,0,0,0,0,1,0,1
CX3CR1,7,11,29,12,113,290,396,312
CXADR,0,0,1,0,0,0,4,1
CXADRP2,0,0,0,0,0,0,0,0
CXADRP2_1,0,0,0,0,0,0,0,0
CXADRP2_2,0,0,0,0,0,0,0,0
CXADRP3,0,0,0,0,0,0,0,0
CXCL1,638,701,1095,564,12272,5830,6210,5357
CXCL10,2,0,78,2,205,8,112,52
CXCL11,0,0,2,0,9,2,1,3
CXCL12,0,1,0,2,0,1,0,0
CXCL13,0,0,0,1,2,0,3,0
CXCL14,0,0,0,0,1,0,0,0
CXCL16,9458,13946,9783,6310,7451,17961,17528,12705
CXCL17,0,0,0,0,0,0,0,0
CXCL2,47,76,217,103,2199,924,763,386
CXCL3,2,2,14,2,421,116,187,101
CXCL5,7,3,0,1,26,11,10,7
CXCL6,34,34,19,16,48,53,92,42
CXCL8,13610,15674,25827,11527,508520,173590,247151,166247
CXCL9,1,0,3,0,2,0,0,0
CXCR1,4539,6039,1779,3208,1975,7337,6061,7388
CXCR2,6539,6812,2088,3788,3514,10140,10851,9997
CXCR2P1,9,26,5,6,16,42,31,12
CXCR3,30,10,84,7,153,57,551,84
CXCR4,15735,14616,17921,10595,43138,108856,114637,75057
CXCR5,17,8,41,21,130,72,282,97
CXCR6,22,4,31,7,114,27,163,26
CXorf38,291,334,159,164,577,1189,1423,815
CXorf49,0,0,0,0,0,0,0,0
CXorf49B,0,0,0,0,0,0,0,0
CXorf51A,0,0,0,0,0,0,0,0
CXorf51B,0,0,0,0,0,0,0,0
CXorf58,1,0,0,0,3,0,3,0
CXorf65,34,19,49,17,303,542,628,308
CXorf66,0,0,0,0,0,0,1,0
CXXC1,135,165,175,85,281,208,671,194
CXXC1P1,0,0,0,0,0,0,0,0
CXXC4,0,0,2,0,1,0,7,0
CXXC4-AS1,0,0,0,0,0,0,1,0
CXXC5,15,2,25,6,30,19,135,30
CXXC5-AS1,0,0,0,0,0,0,0,0
CYB561,37,33,34,22,58,57,219,75
CYB561A3,109,125,221,99,1186,2300,2563,1488
CYB561D1,249,271,212,165,377,633,957,669
CYB561D2,63,129,68,39,195,478,363,179
CYB5A,3,4,27,2,17,9,63,14
CYB5B,76,82,113,48,183,102,348,105
CYB5D1,75,64,86,36,524,654,634,308
CYB5D2,13,6,25,6,39,54,94,31
CYB5R1,303,498,156,223,109,253,236,132
CYB5R2,1,0,5,1,129,105,66,65
CYB5R3,711,1141,938,571,1334,873,1302,696
CYB5R4,32,57,32,19,135,151,177,144
CYB5RL,4,2,10,2,8,3,43,5
CYBA,1855,3198,2953,1185,32235,28527,32040,17985
CYBB,598,454,698,365,37535,23350,27573,29326
CYBC1,1322,1699,1092,1052,909,999,1889,954
CYBRD1,81,69,40,15,27,76,81,25
CYC1,104,152,336,93,471,509,812,325
CYCS,70,79,92,52,153,61,147,44
CYCSP52,1,0,0,0,3,0,3,2
CYFIP1,0,0,0,0,1,0,0,0
CYFIP1_1,0,0,0,0,1,0,0,0
CYFIP1_2,0,0,0,0,0,0,2,0
CYFIP2,6781,9887,7859,4985,27440,14500,29340,12299
CYGB,1,0,4,0,3,3,16,6
CYLC1,0,0,0,0,0,0,0,0
CYLC2,0,0,0,0,0,0,0,0
CYLD,2225,2075,3455,1812,13956,9056,18388,13657
CYLD-AS1,170,210,165,97,791,625,1013,674
CYLD-AS2,0,0,3,0,3,2,1,4
CYMP,0,0,0,0,0,0,0,0
CYMP-AS1,0,1,0,0,0,0,0,0
CYP11A1,0,0,0,0,0,0,0,0
CYP11A1_1,0,0,0,0,0,0,0,0
CYP11B1,0,0,0,0,0,0,1,0
CYP11B2,0,0,0,0,0,0,0,0
CYP17A1,3,2,2,3,17,11,45,14
CYP17A1-AS1,0,3,1,4,17,14,28,10
CYP19A1,0,0,0,0,52,15,9,28
CYP1A1,0,0,1,0,8,10,4,3
CYP1A2,0,0,0,0,1,0,4,0
CYP1B1,224,95,73,30,587,259,277,123
CYP1B1-AS1,0,0,0,0,1,0,2,0
CYP20A1,118,101,136,106,101,57,252,93
CYP21A1P,0,0,0,0,0,0,0,0
CYP21A1P_1,0,0,0,0,0,0,0,0
CYP21A1P_2,0,0,0,0,1,0,0,0
CYP21A2,0,0,0,0,0,0,0,0
CYP21A2_1,0,0,0,0,0,0,0,0
CYP21A2_2,0,0,0,0,0,0,0,0
CYP21A2_3,0,0,0,0,0,0,0,0
CYP21A2_4,0,0,0,0,0,0,0,0
CYP21A2_5,0,0,0,0,0,0,0,0
CYP24A1,0,0,1,0,1,0,2,1
CYP26A1,0,0,0,0,1,0,0,0
CYP26B1,0,0,0,5,0,0,0,22
CYP26C1,0,0,0,0,0,0,0,0
CYP27A1,282,506,124,47,3695,14115,2590,1782
CYP27B1,1,0,4,0,3,0,5,2
CYP27C1,0,0,0,0,0,0,0,0
CYP2A13,0,0,0,0,0,0,1,0
CYP2A6,3,0,1,1,20,4,24,20
CYP2A7,2,1,0,0,3,4,5,0
CYP2B6,0,0,0,0,0,0,0,0
CYP2B7P,0,2,0,0,5,1,5,0
CYP2C18,0,0,0,0,0,0,0,0
CYP2C19,0,0,0,0,0,0,0,0
CYP2C8,0,0,0,0,1,0,0,0
CYP2C9,0,0,0,0,0,0,0,0
CYP2D6,0,0,1,0,0,0,1,0
CYP2D6_1,0,0,0,0,0,0,1,0
CYP2D6_2,0,0,0,0,0,1,0,0
CYP2D6_3,0,0,0,0,0,0,0,0
CYP2D6_4,0,0,0,0,0,0,2,0
CYP2D6_5,0,3,0,0,1,0,0,1
CYP2D7,0,0,0,0,0,0,0,1
CYP2D7_1,0,0,0,0,2,0,0,0
CYP2D7_2,0,0,0,0,0,0,0,0
CYP2D7_3,0,0,0,0,0,0,0,0
CYP2D7_4,0,0,0,0,0,0,0,0
CYP2D7_5,0,0,0,0,0,0,0,1
CYP2D7_6,0,0,0,0,0,0,0,0
CYP2D7_7,3,2,0,1,5,4,0,4
CYP2E1,1,0,1,0,3,0,11,0
CYP2F1,0,0,0,1,1,0,1,1
CYP2G1P,1,4,0,0,6,7,14,4
CYP2J2,0,0,1,1,0,0,1,0
CYP2R1,41,25,58,19,87,47,246,58
CYP2S1,1,0,0,0,1,1,1,0
CYP2T1P,8,8,10,3,32,34,55,25
CYP2U1,5,2,8,2,15,8,51,8
CYP2U1-AS1,0,0,0,0,0,0,0,0
CYP2W1,0,0,0,0,0,0,0,0
CYP39A1,0,0,0,0,1,0,2,1
CYP3A4,0,0,1,0,0,0,0,0
CYP3A43,0,0,0,0,0,0,0,0
CYP3A5,0,0,6,3,11,8,12,5
CYP3A7,0,0,0,0,0,0,0,0
CYP3A7-CYP3A51P,0,0,0,0,0,0,0,0
CYP46A1,0,0,0,0,1,0,2,0
CYP4A11,0,0,0,0,0,0,0,0
CYP4A22,0,1,0,0,0,0,0,0
CYP4B1,0,0,0,0,0,0,0,0
CYP4F11,2,1,0,0,2,2,1,0
CYP4F12,12,34,9,9,29,63,65,32
CYP4F2,5,14,3,5,17,34,36,17
CYP4F22,1,0,0,0,0,3,1,0
CYP4F24P,0,0,0,1,1,0,1,0
CYP4F29P,0,0,0,2,1,0,4,4
CYP4F3,1954,2449,1276,827,4293,5890,6069,3353
CYP4F30P,0,0,0,0,0,0,0,0
CYP4F35P,0,0,4,1,0,0,6,0
CYP4F62P,0,0,0,0,0,0,0,0
CYP4F8,1,0,3,2,0,0,1,0
CYP4V2,3,1,17,0,26,6,61,8
CYP4X1,0,0,0,0,0,0,0,0
CYP4Z1,0,0,0,0,0,0,0,0
CYP4Z2P,0,0,0,0,0,0,0,0
CYP51A1,65,51,68,56,80,33,91,30
CYP51A1-AS1,0,0,0,0,0,0,2,0
CYP7A1,0,0,3,2,9,10,14,5
CYP7B1,0,2,3,3,5,7,4,5
CYP8B1,1,0,0,0,1,1,4,2
CYREN,422,481,504,424,1143,2384,2362,1873
CYRIA,1182,1493,1680,596,5812,7749,9856,5092
CYRIB,4726,5787,3367,2779,17076,18638,20513,13039
CYS1,0,0,2,0,0,0,1,0
CYSLTR1,56,77,39,55,214,221,248,238
CYSLTR2,24,33,32,32,53,65,134,56
CYSRT1,0,0,1,0,0,0,2,0
CYSTM1,922,1494,1301,979,2201,2443,2910,1846
CYTB,2554,2828,4524,2443,8890,8904,21314,10141
CYTH1,4207,4290,4299,3557,15497,9449,16663,11229
CYTH2,126,180,193,97,688,825,1069,772
CYTH3,110,105,158,100,142,177,491,171
CYTH4,1797,2747,1601,1067,8111,22020,17012,11413
CYTIP,3605,3542,2263,1673,2939,5325,6824,3710
CYTL1,0,0,0,0,0,0,0,0
CYTOR,115,419,222,146,184,882,416,239
CYYR1,3,2,1,2,24,9,12,4
CYYR1-AS1,0,0,0,0,0,0,0,0
CZ1P-ASNS,0,1,5,1,5,0,7,4
CZIB,19,33,43,8,41,35,179,28
CZIB-DT,2,0,0,0,1,0,0,1
D21S2088E,0,0,0,0,0,0,0,0
D2HGDH,49,23,56,18,230,128,260,112
DAAM1,20,6,31,2,44,9,97,10
DAAM2,7,14,9,5,12,43,33,8
DAAM2-AS1,0,0,0,0,0,1,0,0
DAB1,0,0,0,0,2,1,4,1
DAB1-AS1,0,0,0,0,0,0,0,0
DAB2,8,4,12,1,28,9,36,6
DAB2IP,1,0,2,0,5,0,5,0
DACH1,31,27,22,16,118,46,126,46
DACH2,0,0,0,0,0,0,0,0
DACT1,30,27,49,24,5,5,4,5
DACT2,0,0,0,0,0,0,0,0
DACT3,1,1,2,1,18,120,25,38
DACT3-AS1,5,1,2,0,26,9,18,16
DAD1,145,203,137,113,369,750,819,438
DAG1,118,210,131,102,34,35,104,28
DAGLA,2,2,26,2,28,51,250,10
DAGLB,269,474,312,218,1370,2333,3983,2387
DALRD3,73,88,51,46,88,159,285,112
DANCR,1,2,17,3,28,9,83,8
DAND5,0,0,0,0,0,0,0,0
DANT1,1,0,0,0,0,0,0,0
DANT2,0,0,0,0,0,0,0,0
DAO,0,0,1,0,0,0,0,0
DAOA,0,0,0,0,0,0,0,0
DAOA-AS1,0,0,0,0,0,0,0,0
DAP,914,970,625,535,3021,3191,3064,1714
DAP3,141,161,162,86,533,480,818,397
DAP-DT,0,0,0,0,0,0,1,0
DAPK1,777,619,206,350,3763,2013,1525,2102
DAPK1-IT1,0,0,0,0,0,1,1,0
DAPK2,392,409,350,210,502,631,1097,500
DAPK3,513,787,510,352,594,849,858,523
DAPL1,0,0,0,0,0,0,0,0
DAPP1,734,730,810,404,8776,6446,8351,7498
DARS1,115,112,139,97,452,989,837,486
DARS1-AS1,6,2,3,7,14,33,36,9
DARS2,13,7,26,10,40,13,104,31
DAW1,0,0,0,0,0,0,0,0
DAXX,1,0,0,0,3,1,1,6
DAXX_1,0,0,0,0,0,0,0,0
DAXX_2,0,0,1,0,0,0,7,0
DAXX_3,0,0,0,0,0,0,0,0
DAXX_4,0,0,0,0,1,4,13,8
DAZ1,0,0,0,0,0,0,0,0
DAZ2,0,0,0,0,0,0,0,0
DAZ3,0,0,0,0,0,0,0,0
DAZ4,0,0,0,0,0,0,0,0
DAZAP1,354,488,531,324,495,588,1010,479
DAZAP2,5815,7485,6009,4088,22389,21994,27685,17123
DAZL,1,0,0,0,0,0,0,0
DBET,2,4,6,0,4,1,11,8
DBET_1,0,0,0,0,0,0,0,0
DBET_2,0,0,0,0,0,0,0,0
DBF4,25,7,22,8,55,41,93,25
DBF4B,5,6,19,7,60,18,84,30
DBH,0,0,15,0,8,8,79,0
DBH-AS1,2,3,25,2,33,14,158,2
DBI,75,124,97,104,100,291,285,198
DBIL5P,0,0,0,2,0,1,2,0
DBIL5P2,0,0,0,0,0,0,0,0
DBN1,187,403,198,124,1423,2516,1709,1639
DBNDD1,1,1,1,0,1,0,0,0
DBNDD2,0,2,1,0,0,2,3,0
DBNL,4338,4486,3154,2103,12634,15262,19695,11037
DBP,5,19,26,10,20,32,102,22
DBR1,78,138,65,64,98,108,236,80
DBT,27,19,20,6,59,53,174,36
DBX1,0,0,0,0,0,0,0,0
DBX2,0,0,0,0,0,1,0,0
DBX2-AS1,0,0,0,0,0,0,0,0
DCAF1,143,198,237,166,140,77,402,97
DCAF10,55,54,57,41,205,131,405,145
DCAF11,1,0,0,1,27,0,1,1
DCAF11_1,0,0,0,0,0,0,0,0
DCAF12,295,275,234,145,1179,1171,2124,1238
DCAF12L1,0,0,0,0,0,0,0,0
DCAF12L2,0,0,0,0,0,0,0,0
DCAF13,43,34,57,22,104,101,146,54
DCAF13P3,1,1,1,1,6,1,2,1
DCAF15,0,0,0,0,0,0,0,0
DCAF15_1,19,0,15,0,0,0,10,0
DCAF16,191,198,197,138,270,163,518,170
DCAF17,8,4,29,4,67,17,184,25
DCAF4,5,2,18,3,19,9,48,5
DCAF4L1,5,7,1,3,17,33,26,11
DCAF4L2,0,1,0,0,0,0,0,0
DCAF5,384,392,431,243,611,712,1582,645
DCAF6,74,64,57,37,106,114,254,133
DCAF7,265,351,353,214,925,1221,2251,1154
DCAF8,380,289,551,196,1873,1962,3445,2068
DCAF8-DT,4,3,3,2,13,18,48,14
DCAF8L1,0,0,0,0,0,1,2,1
DCAF8L2,0,0,0,0,1,0,0,0
DCAKD,25,55,34,8,32,33,99,25
DCANP1,0,0,0,0,0,0,0,0
DCBLD1,2,3,10,2,12,9,54,5
DCBLD2,5,5,4,2,23,41,75,49
DCC,0,0,0,0,0,0,0,0
DCD,0,0,0,0,0,0,0,0
DCDC1,1,0,0,0,0,0,1,0
DCDC2,0,0,0,0,0,0,0,0
DCDC2B,2,2,0,1,7,2,18,5
DCDC2C,1,1,0,0,0,0,0,0
DCHS1,18,14,97,5,75,52,246,8
DCHS2,0,0,0,0,0,0,0,0
DCHS2_1,0,0,0,0,0,0,0,0
DCK,165,177,172,137,158,152,356,103
DCLK1,0,1,0,0,1,0,0,0
DCLK2,0,1,1,0,0,0,1,0
DCLK3,1,1,0,1,1,2,1,1
DCLRE1A,13,9,19,10,21,10,66,18
DCLRE1B,182,170,122,95,14,26,49,24
DCLRE1C,110,93,83,72,238,188,358,200
DCLRE1CP1,0,0,0,0,0,0,0,0
DCN,23,10,0,6,0,1,0,0
DCP1A,300,250,402,187,2215,1238,2207,1206
DCP1B,0,0,0,0,0,0,1,0
DCP1B_1,0,0,0,0,0,0,0,0
DCP2,823,511,446,296,6351,2573,4917,2813
DCPS,37,56,66,27,74,110,214,72
DCST1,0,5,2,2,9,12,12,10
DCST1-AS1,0,0,0,1,2,1,4,0
DCST2,3,6,9,4,15,23,33,22
DCSTAMP,0,0,0,0,0,0,0,0
DCT,1,0,0,0,0,0,0,1
DCTD,19,17,42,15,99,28,204,39
DCTN1,299,352,373,203,701,879,1505,732
DCTN1-AS1,0,0,0,0,2,1,0,1
DCTN2,173,261,258,131,1031,1432,1639,877
DCTN3,77,120,96,44,176,203,286,193
DCTN4,236,225,243,211,1184,854,1299,668
DCTN5,157,206,188,148,496,425,825,649
DCTN6,56,44,45,23,77,61,162,52
DCTN6-DT,4,12,5,3,7,19,25,10
DCTPP1,35,44,48,38,19,10,70,16
DCUN1D1,163,141,132,96,991,814,1168,905
DCUN1D2,456,730,398,312,234,341,432,223
DCUN1D3,1337,1474,1167,904,1802,684,1215,648
DCUN1D4,40,44,42,33,65,57,166,38
DCUN1D5,12,29,22,16,68,58,122,57
DCX,0,0,0,0,0,0,0,0
DCXR,52,55,58,30,62,60,197,53
DCXR-DT,0,0,0,0,0,0,1,0
DDA1,55,80,110,48,369,360,565,285
DDAH1,1,0,4,0,0,2,1,0
DDAH2,0,0,0,0,1,0,0,0
DDAH2_1,0,0,0,0,0,0,0,0
DDAH2_2,0,0,0,0,0,0,0,0
DDAH2_3,0,1,0,0,0,1,166,0
DDAH2_4,0,0,0,0,0,0,0,0
DDAH2_5,0,0,0,0,0,0,0,0
DDAH2_6,0,0,0,0,0,2,0,2
DDB1,160,208,325,121,572,431,1237,469
DDB2,71,136,83,64,72,33,215,49
DDC,1,0,0,0,0,0,0,0
DDC-AS1,0,0,0,0,0,0,0,0
DDHD1,84,55,130,111,520,475,919,562
DDHD1-DT,0,0,0,0,0,0,1,1
DDHD2,163,124,186,91,173,58,398,50
DDI1,0,0,0,0,0,0,0,0
DDI2,94,88,177,83,224,165,689,178
DDIAS,6,12,7,5,11,8,15,10
DDIT3,338,408,515,334,2145,3429,2913,1813
DDIT4,718,625,1737,450,13834,11518,11189,6927
DDIT4-AS1,0,0,0,0,5,1,0,0
DDIT4L,0,0,0,0,1,0,0,0
DDIT4L-AS1,0,0,0,0,0,0,0,0
DDN,0,0,2,1,11,7,6,0
DDN-AS1,3,2,1,2,9,3,9,5
DDO,0,0,0,0,0,1,3,1
DDOST,137,247,244,114,400,387,989,322
DDR1,0,0,0,0,0,0,0,0
DDR1_1,0,0,0,0,0,0,0,0
DDR1_2,0,0,0,0,0,0,0,0
DDR1_3,4,0,0,0,12,6,0,0
DDR1_4,0,0,0,0,0,0,0,0
DDR1_5,0,0,0,0,0,0,0,0
DDR1_6,0,0,0,0,0,0,0,0
DDR2,19,7,17,7,14,11,29,4
DDRGK1,22,28,57,20,65,70,188,68
DDT,0,0,0,0,0,0,0,0
DDT_1,0,0,0,0,0,1,0,0
DDTL,1,0,0,0,0,0,1,0
DDTL_1,0,0,0,0,0,0,0,0
DDX1,43,39,63,13,121,75,295,82
DDX10,6,8,21,5,30,9,86,20
DDX11,8,46,69,58,14,18,157,42
DDX11-AS1,0,2,0,0,0,0,1,0
DDX11L1,0,0,0,0,0,0,0,0
DDX11L10,2,0,0,0,5,0,1,1
DDX11L16,0,0,0,0,0,0,0,0
DDX11L16_1,0,0,0,0,0,0,0,0
DDX11L17,0,0,0,0,0,0,3,0
DDX11L2,3,3,17,5,0,1,35,4
DDX11L5,0,0,1,0,0,0,0,0
DDX11L9,0,0,0,0,0,0,0,0
DDX11L9_1,0,0,0,0,0,0,0,0
DDX12P,12,13,15,2,17,7,61,7
DDX17,7953,7658,6827,4929,24089,22698,32241,18691
DDX18,230,341,421,240,640,661,1609,475
DDX19A,36,47,76,47,85,126,248,77
DDX19A-DT,0,0,0,0,0,0,5,0
DDX19B,36,44,45,28,72,45,151,50
DDX20,81,63,71,49,344,679,872,472
DDX21,1048,1506,1274,937,1367,923,1489,911
DDX23,527,783,642,271,1239,1388,2136,1260
DDX24,1,0,1,0,1,0,0,0
DDX24_1,0,0,0,0,0,0,0,0
DDX25,0,0,0,0,3,1,3,0
DDX27,266,329,248,221,354,377,690,283
DDX28,28,56,31,26,56,178,186,76
DDX31,13,6,31,2,40,11,109,13
DDX39A,510,518,772,447,497,748,962,423
DDX39B,0,0,0,0,0,0,0,0
DDX39B_1,0,0,0,0,0,0,0,0
DDX39B_2,0,0,0,0,0,0,0,0
DDX39B_3,0,0,0,0,0,0,0,0
DDX39B_4,0,0,0,0,0,0,0,0
DDX39B_5,0,0,0,0,0,0,0,0
DDX39B_6,0,0,0,0,0,0,0,0
DDX39B_7,0,0,0,0,0,0,0,0
DDX39B-AS1,0,0,0,0,0,0,0,0
DDX39B-AS1_1,0,0,0,0,0,0,0,0
DDX39B-AS1_2,0,0,0,0,0,0,0,0
DDX39B-AS1_3,0,0,0,0,0,0,0,0
DDX39B-AS1_4,0,0,0,0,0,0,0,0
DDX39B-AS1_5,0,0,0,0,0,0,0,0
DDX39B-AS1_6,0,0,0,0,0,0,0,0
DDX3ILA1,0,0,0,0,0,0,0,0
DDX3X,7921,6916,7037,4388,36487,21431,33183,19311
DDX3Y,1,0,1333,940,0,0,4832,3034
DDX4,0,0,0,0,0,0,0,0
DDX41,327,499,393,333,412,602,894,421
DDX42,810,1158,659,534,668,1024,1702,770
DDX43,5,4,42,14,14,10,55,15
DDX46,242,280,270,163,522,350,1211,491
DDX47,27,18,65,29,97,53,287,59
DDX49,78,134,85,63,183,267,362,188
DDX5,6596,5965,5566,3059,32749,19642,28968,17198
DDX50,162,244,170,109,349,269,467,227
DDX51,0,0,0,0,0,1,0,0
DDX51_1,0,0,0,0,0,0,0,0
DDX52,3,6,1,5,6,11,21,12
DDX52_1,0,0,3,2,12,2,9,1
DDX53,0,0,0,0,0,0,0,0
DDX54,24,34,59,28,100,60,290,51
DDX55,83,126,82,71,69,61,187,48
DDX56,95,121,140,61,285,333,550,226
DDX59,280,258,131,132,719,777,859,627
DDX59-AS1,0,0,0,0,0,2,0,0
DDX6,2005,1865,1861,1222,7943,7407,12706,6724
DDX60,66,32,73,51,962,264,1076,506
DDX60L,726,962,738,835,8520,10008,8235,6667
DEAF1,37,34,42,21,132,124,181,81
DEAF1_1,0,1,1,0,0,0,1,1
DECR1,175,256,106,133,892,1111,1007,928
DECR2,0,0,0,0,0,0,0,0
DECR2_1,0,0,0,0,0,1,0,0
DEDD,206,293,286,192,1044,1300,1597,1020
DEDD2,772,948,883,540,6446,9878,9329,6349
DEF6,645,1026,617,381,1005,2249,3048,1258
DEF8,578,876,296,328,636,1212,1190,779
DEFA1,0,0,0,0,0,0,0,0
DEFA1_1,0,0,0,0,0,0,1,0
DEFA10P,0,0,0,0,0,0,0,0
DEFA10P_1,0,0,0,0,0,0,0,0
DEFA11P,0,0,0,0,0,0,0,0
DEFA11P_1,0,0,0,0,0,0,0,0
DEFA1B,0,0,0,0,0,0,0,0
DEFA1B_1,0,0,0,0,0,3,0,0
DEFA3,9,86,13,2,21,80,86,9
DEFA3_1,0,0,0,0,0,1,0,0
DEFA4,0,0,0,0,0,0,0,0
DEFA4_1,0,0,0,0,0,0,0,0
DEFA5,0,0,0,0,0,0,0,0
DEFA5_1,0,0,0,0,0,0,0,0
DEFA6,0,0,0,0,0,0,0,0
DEFA6_1,0,0,0,0,0,0,0,0
DEFA8P,0,0,0,0,0,0,0,0
DEFA8P_1,0,0,0,0,0,0,0,0
DEFA9P,0,0,0,0,0,0,0,0
DEFA9P_1,0,0,0,0,0,0,0,0
DEFB1,0,0,0,0,0,0,0,0
