Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
ABHD16A_5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ABHD16A_6,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,2
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17A,337,339,336,185,338,480,474,264,933,1404,1073,764,605,735,1234,460
ABHD17B,75,46,50,37,48,53,56,38,192,180,190,140,100,120,190,95
ABHD17C,39,172,18,39,56,238,31,40,46,284,26,33,16,16,18,5
ABHD18,137,112,88,66,117,134,129,99,351,204,287,251,189,133,319,187
ABHD2,2147,2648,1455,1270,4347,5813,3183,2737,23197,26639,23713,25848,4839,9250,11490,6429
ABHD3,355,303,125,80,493,484,199,138,2247,1647,1195,1374,652,851,724,344
ABHD4,1253,1369,728,581,630,814,685,416,2082,2127,1824,1680,1474,2635,2658,1762
ABHD5,759,785,478,524,1795,1709,821,985,3510,2685,2623,2733,613,1229,2140,1338
ABHD6,10,11,23,15,5,4,12,5,8,6,24,5,5,7,40,15
ABHD8,67,58,57,34,30,52,44,19,78,137,147,72,75,125,244,89
ABI1,1246,961,551,545,614,640,532,371,2390,2127,1803,1923,3110,2428,3170,2077
ABI2,30,20,34,9,25,7,27,10,52,15,98,15,52,27,154,20
ABI3,38,43,59,28,38,74,78,25,385,416,475,262,114,232,451,163
ABI3BP,0,1,4,1,0,1,0,0,1,3,2,1,4,4,6,0
ABITRAM,100,54,48,51,94,87,62,87,149,128,130,182,72,73,160,93
ABL1,75,48,112,52,49,35,153,30,165,88,360,121,166,73,527,105
ABL2,204,178,143,140,137,208,177,115,159,101,145,113,183,57,247,60
ABLIM1,524,182,798,173,280,161,813,163,1032,494,2403,568,1086,483,4231,615
ABLIM2,0,0,3,2,0,2,1,0,1,1,3,1,2,1,10,5
ABLIM3,2,8,1,0,4,10,4,1,7,19,6,4,9,29,6,5
ABO,1,2,2,0,2,0,2,0,7,1,3,5,2,2,3,3
ABO_1,1,1,0,0,0,1,0,1,4,4,1,2,3,3,1,2
ABR,26,31,19,14,18,32,11,9,18,18,103,9,20,121,40,21
ABR_1,0,0,0,0,1,1,0,0,1,66,1,0,1,1,1,2
ABR_2,1,0,8,1,0,0,5,1,1,27,44,27,1,4,89,1
ABRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABRACL,91,102,50,43,74,78,56,64,191,186,240,211,362,450,510,295
ABR-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR-AS1_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRAXAS1,16,8,14,6,16,17,8,15,62,52,64,51,48,51,75,23
ABRAXAS2,47,50,37,36,25,31,44,25,131,87,149,117,95,113,226,113
ABT1,0,15,0,8,0,13,0,15,0,34,0,19,0,31,0,30
ABT1_1,19,10,16,10,29,22,32,13,68,27,57,22,36,26,79,26
ABTB1,2230,3303,1577,1606,3160,3619,2268,1678,15533,20385,15917,15987,3982,14107,12629,9739
ABTB2,318,447,249,233,228,369,258,222,76,68,88,55,352,414,443,317
ABTB3,106,46,137,24,55,30,132,18,182,84,303,75,214,105,507,97
ACAA1,1528,2109,837,689,801,1397,866,542,2362,4740,1889,1985,7290,7068,7701,4840
ACAA2,151,143,98,99,121,206,142,118,72,47,92,52,49,24,140,34
ACACA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ACACA_1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
ACACB,52,18,33,12,63,38,53,24,196,78,204,96,98,32,147,55
ACAD10,62,65,53,51,65,70,59,46,236,204,250,188,152,207,297,176
ACAD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAD8,65,60,58,42,86,84,71,44,221,157,263,206,130,76,334,117
ACAD9,174,248,113,102,109,218,150,99,86,106,137,47,64,148,205,68
ACAD9-DT,2,4,4,2,1,2,4,2,5,6,4,2,6,19,7,3
ACADL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,23,13,27,20,9,29,34,14,71,29,86,59,50,36,123,29
ACADS,29,17,19,15,21,32,23,10,23,36,71,34,23,31,83,27
ACADSB,33,11,34,13,19,13,34,16,68,35,121,69,67,36,199,51
ACADVL,1363,1125,600,471,893,898,682,449,2001,2085,1472,1186,1682,2080,1970,968
ACAN,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
ACAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP1_1,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0
ACAP2,1595,996,618,547,1332,1119,836,645,6666,4617,4545,4857,3765,2801,4088,2565
ACAP3,456,660,434,393,392,722,495,384,333,492,461,292,259,333,594,227
ACAT1,17,21,18,12,22,27,27,8,34,21,24,31,17,23,69,7
ACAT2,1021,787,640,377,97,113,413,86,80,50,92,69,450,372,625,205
ACBD3,129,107,79,74,74,117,82,49,230,257,259,226,249,309,471,283
ACBD3-AS1,3,0,0,0,0,0,0,0,2,0,2,1,1,0,3,0
ACBD4,20,11,21,7,13,10,27,9,30,30,62,22,59,34,107,26
ACBD5,93,134,72,72,217,223,129,120,794,854,703,624,184,359,466,253
ACBD6,19,9,22,4,11,21,27,5,35,20,64,33,27,17,107,17
ACBD7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0
ACBD7-DCLRE1CP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCS,20,39,82,23,29,43,98,10,117,123,488,179,95,93,522,112
ACCSL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ACD,1732,1844,1034,902,1455,2046,1456,961,272,283,283,243,526,216,521,201
ACE,2,2,4,0,5,1,8,1,8,4,8,0,15,4,21,1
ACE2,4,0,1,1,2,0,0,0,4,0,0,3,0,0,1,0
ACE2-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACER1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,0
ACER2,1,0,2,2,1,1,5,2,4,0,7,4,4,1,13,2
ACER3,180,177,104,60,122,162,137,67,261,347,229,97,183,258,276,84
ACHE,0,1,5,4,0,1,3,6,0,0,4,2,4,1,11,6
ACIN1,1665,1350,995,892,1350,1348,1429,1032,4262,3663,3909,3792,3103,3031,5342,3147
ACKR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKR2,5,1,2,2,6,8,1,1,15,9,12,10,15,2,22,8
ACKR3,36,13,7,4,4,1,12,1,12,5,11,1,82,15,43,5
ACKR4,0,0,0,0,0,0,0,0,0,1,4,3,0,1,4,0
ACLY,530,388,336,269,419,495,488,251,1155,903,1296,971,708,576,1436,597
ACMSD,4,0,1,0,1,4,1,2,3,4,2,3,2,3,7,4
ACO1,168,52,85,38,95,31,77,20,509,115,370,135,1030,259,1161,382
ACO2,190,191,153,83,110,173,173,97,227,249,356,196,350,277,524,251
ACOD1,85,36,184,66,0,0,15,0,4,1,1,0,1208,358,1109,383
ACOT1,6,3,0,1,0,0,0,2,0,1,1,3,1,0,8,0
ACOT11,6,3,0,2,3,3,1,2,8,7,17,12,8,7,10,7
ACOT12,3,2,2,0,0,3,2,1,10,1,5,6,4,5,7,5
ACOT13,151,190,88,76,107,232,93,105,417,673,372,470,355,767,670,437
ACOT2,29,15,8,16,6,5,12,2,13,4,29,6,24,18,55,8
ACOT4,1,0,1,0,0,0,0,1,2,0,4,0,1,0,4,0
ACOT6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,4,3,7,4,2,1,6,0,13,5,21,17,11,6,44,7
ACOT8,35,43,19,9,32,37,34,16,201,192,133,115,75,118,174,71
ACOT9,2530,1757,1009,1154,1319,1769,1177,918,3319,2750,1316,1528,4712,3093,3062,2097
ACOX1,973,507,423,276,874,684,615,384,7278,3997,5905,5068,6928,3636,10367,4378
ACOX2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ACOX3,307,566,489,486,87,138,370,147,164,170,234,112,187,189,335,149
ACOXL,11,13,5,8,4,11,4,6,13,26,15,5,3,14,15,8
ACOXL-AS1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,2,1
ACP1,93,100,92,72,75,94,107,60,110,64,166,67,87,59,248,64
ACP2,63,104,63,34,41,77,76,46,54,60,81,40,116,122,186,96
ACP3,86,62,44,31,93,72,54,45,303,224,233,271,191,192,278,193
ACP4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
ACP5,97,88,124,101,67,57,103,66,320,247,491,242,214,216,597,346
ACP6,265,159,197,152,103,78,229,127,436,294,440,179,145,353,608,140
ACP7,1,2,0,0,1,1,0,0,0,0,2,0,0,2,2,0
ACR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRBP,28,38,10,11,14,22,10,6,87,130,107,59,68,151,117,75
ACRV1,0,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0
ACSBG1,1,0,2,1,0,0,0,0,2,1,1,0,1,1,1,0
ACSBG2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0
ACSF2,9,4,12,3,9,6,9,5,74,33,64,46,29,18,52,22
ACSF3,45,32,43,16,52,17,49,20,123,50,134,56,93,56,194,51
ACSL1,25005,25428,12966,13276,10037,14170,11230,6425,20051,17532,11354,17540,111649,48196,57909,55913
ACSL3,236,361,146,289,304,554,227,425,528,456,413,577,311,217,369,267
ACSL3-AS1,5,3,2,0,3,3,1,5,5,4,5,2,6,0,3,3
ACSL4,742,650,250,345,1084,806,319,386,3801,2208,1845,2397,2845,1758,1988,2318
ACSL5,2025,2171,1398,1516,172,330,717,270,608,878,673,502,7246,6720,7658,6251
ACSL6,8,4,16,2,4,1,14,0,17,6,41,5,26,10,74,4
ACSL6-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM1,3,4,0,1,1,0,1,2,22,7,16,17,9,4,15,9
ACSM2A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACSM3,21,11,9,16,21,18,8,8,122,43,93,66,67,18,132,43
ACSM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ACSS1,87,99,110,50,65,40,106,49,200,121,371,239,185,189,562,237
ACSS2,1205,1650,797,676,1170,1657,1170,768,844,1059,764,774,204,372,379,199
ACSS3,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0
ACTA1,22,15,14,17,17,26,14,22,4,3,6,1,1,1,2,1
