Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
ABHD8,67,58,57,34,30,52,44,19
ABI1,1246,961,551,545,614,640,532,371
ABI2,30,20,34,9,25,7,27,10
ABI3,38,43,59,28,38,74,78,25
ABI3BP,0,1,4,1,0,1,0,0
ABITRAM,100,54,48,51,94,87,62,87
ABL1,75,48,112,52,49,35,153,30
ABL2,204,178,143,140,137,208,177,115
ABLIM1,524,182,798,173,280,161,813,163
ABLIM2,0,0,3,2,0,2,1,0
ABLIM3,2,8,1,0,4,10,4,1
ABO,1,2,2,0,2,0,2,0
ABO_1,1,1,0,0,0,1,0,1
ABR,26,31,19,14,18,32,11,9
ABR_1,0,0,0,0,1,1,0,0
ABR_2,1,0,8,1,0,0,5,1
ABRA,0,0,0,0,0,0,0,0
ABRACL,91,102,50,43,74,78,56,64
ABR-AS1,0,0,0,0,0,0,0,0
ABR-AS1_1,0,1,0,0,0,0,0,0
ABRAXAS1,16,8,14,6,16,17,8,15
ABRAXAS2,47,50,37,36,25,31,44,25
ABT1,0,15,0,8,0,13,0,15
ABT1_1,19,10,16,10,29,22,32,13
ABTB1,2230,3303,1577,1606,3160,3619,2268,1678
ABTB2,318,447,249,233,228,369,258,222
ABTB3,106,46,137,24,55,30,132,18
ACAA1,1528,2109,837,689,801,1397,866,542
ACAA2,151,143,98,99,121,206,142,118
ACACA,0,0,0,0,0,0,1,0
ACACA_1,1,0,0,0,0,0,0,0
ACACB,52,18,33,12,63,38,53,24
ACAD10,62,65,53,51,65,70,59,46
ACAD11,0,0,0,0,0,0,0,0
ACAD8,65,60,58,42,86,84,71,44
ACAD9,174,248,113,102,109,218,150,99
ACAD9-DT,2,4,4,2,1,2,4,2
ACADL,0,0,0,0,0,0,0,0
ACADM,23,13,27,20,9,29,34,14
ACADS,29,17,19,15,21,32,23,10
ACADSB,33,11,34,13,19,13,34,16
ACADVL,1363,1125,600,471,893,898,682,449
ACAN,0,0,0,0,0,0,1,0
ACAP1,0,0,0,0,0,0,0,0
ACAP1_1,0,0,0,0,0,1,0,0
ACAP2,1595,996,618,547,1332,1119,836,645
ACAP3,456,660,434,393,392,722,495,384
ACAT1,17,21,18,12,22,27,27,8
ACAT2,1021,787,640,377,97,113,413,86
ACBD3,129,107,79,74,74,117,82,49
ACBD3-AS1,3,0,0,0,0,0,0,0
ACBD4,20,11,21,7,13,10,27,9
ACBD5,93,134,72,72,217,223,129,120
ACBD6,19,9,22,4,11,21,27,5
